date,state,value
2015-01-01,Johor,110002.221
2015-01-01,Kedah,39549.581
2015-01-01,Kelantan,21407.736
2015-01-01,Melaka,36077.257
2015-01-01,Negeri Sembilan,40185.677
2015-01-01,Pahang,49449.712
2015-01-01,Perak,63175.555
2015-01-01,Perlis,5352.875
2015-01-01,Pulau Pinang,78146.215
2015-01-01,Sabah,73776.128
2015-01-01,Sarawak,121585.277
2015-01-01,Selangor,268824.995
2015-01-01,Terengganu,31124.445
2015-01-01,W.P. Kuala Lumpur,180864.541
2015-01-01,W.P. Labuan,5999.225
2016-01-01,Johor,116682.227
2016-01-01,Kedah,41155.715
2016-01-01,Kelantan,22475.73
2016-01-01,Melaka,37712.736
2016-01-01,Negeri Sembilan,41771.246
2016-01-01,Pahang,50875.222
2016-01-01,Perak,65958.409
2016-01-01,Perlis,5569.584
2016-01-01,Pulau Pinang,82493.279
2016-01-01,Sabah,77518.046
2016-01-01,Sarawak,124512.946
2016-01-01,Selangor,281838.865
2016-01-01,Terengganu,32133.081
2016-01-01,W.P. Kuala Lumpur,191640.985
2016-01-01,W.P. Labuan,6412.031
2017-01-01,Johor,123561.327
2017-01-01,Kedah,43066.583
2017-01-01,Kelantan,23501.175
2017-01-01,Melaka,40829.986
2017-01-01,Negeri Sembilan,43815.729
2017-01-01,Pahang,54591.139
2017-01-01,Perak,69336.571
2017-01-01,Perlis,5694.648
2017-01-01,Pulau Pinang,86767.823
2017-01-01,Sabah,83793.257
2017-01-01,Sarawak,130168.608
2017-01-01,Selangor,302186.45
2017-01-01,Terengganu,33978.557
2017-01-01,W.P. Kuala Lumpur,206175.307
2017-01-01,W.P. Labuan,6789.806
2018-01-01,Johor,130585.945
2018-01-01,Kedah,44803.83
2018-01-01,Kelantan,24142.691
2018-01-01,Melaka,42375.671
2018-01-01,Negeri Sembilan,45694.04
2018-01-01,Pahang,56289.94
2018-01-01,Perak,73030.81
2018-01-01,Perlis,5885.364
2018-01-01,Pulau Pinang,91234.235
2018-01-01,Sabah,85012.016
2018-01-01,Sarawak,133009.823
2018-01-01,Selangor,323215.439
2018-01-01,Terengganu,34838.208
2018-01-01,W.P. Kuala Lumpur,220358.974
2018-01-01,W.P. Labuan,7244.941
2019-01-01,Johor,134225.938
2019-01-01,Kedah,46841.199
2019-01-01,Kelantan,25479.178
2019-01-01,Melaka,43583.397
2019-01-01,Negeri Sembilan,48033.554
2019-01-01,Pahang,58434.372
2019-01-01,Perak,75992.708
2019-01-01,Perlis,6151.334
2019-01-01,Pulau Pinang,94645.352
2019-01-01,Sabah,85641.69
2019-01-01,Sarawak,136759.184
2019-01-01,Selangor,345008.461
2019-01-01,Terengganu,36000.52
2019-01-01,W.P. Kuala Lumpur,233793.693
2019-01-01,W.P. Labuan,7623.268
2020-01-01,Johor,128073.564
2020-01-01,Kedah,46042.458
2020-01-01,Kelantan,25187.708
2020-01-01,Melaka,41030.449
2020-01-01,Negeri Sembilan,46336.101
2020-01-01,Pahang,54885.462
2020-01-01,Perak,74263.987
2020-01-01,Perlis,5785.067
2020-01-01,Pulau Pinang,92690.682
2020-01-01,Sabah,77840.052
2020-01-01,Sarawak,127556.288
2020-01-01,Selangor,326805.3
2020-01-01,Terengganu,33994.032
2020-01-01,W.P. Kuala Lumpur,217447.043
2020-01-01,W.P. Labuan,7613.361
2021-01-01,Johor,131242.981
2021-01-01,Kedah,47505.068
2021-01-01,Kelantan,25781.895
2021-01-01,Melaka,41871.632
2021-01-01,Negeri Sembilan,47787.092
2021-01-01,Pahang,55440.104
2021-01-01,Perak,76900.997
2021-01-01,Perlis,5866.65
2021-01-01,Pulau Pinang,99123.944
2021-01-01,Sabah,79000.069
2021-01-01,Sarawak,131593.878
2021-01-01,Selangor,344102.741
2021-01-01,Terengganu,35235.898
2021-01-01,W.P. Kuala Lumpur,219883.721
2021-01-01,W.P. Labuan,7649.669
2022-01-01,Johor,142369.692
2022-01-01,Kedah,50982.123
2022-01-01,Kelantan,26934.566
2022-01-01,Melaka,45579.035
2022-01-01,Negeri Sembilan,50939.264
2022-01-01,Pahang,61746.204
2022-01-01,Perak,80426.886
2022-01-01,Perlis,6209.957
2022-01-01,Pulau Pinang,112281.052
2022-01-01,Sabah,82106.428
2022-01-01,Sarawak,140698.831
2022-01-01,Selangor,385158.798
2022-01-01,Terengganu,37353.84
2022-01-01,W.P. Kuala Lumpur,240517.538
2022-01-01,W.P. Labuan,7962.511
2023-01-01,Johor,148204.766
2023-01-01,Kedah,51782.054
2023-01-01,Kelantan,27647.952
2023-01-01,Melaka,46933.449
2023-01-01,Negeri Sembilan,51864.043
2023-01-01,Pahang,64941.717
2023-01-01,Perak,82558.744
2023-01-01,Perlis,6343.178
2023-01-01,Pulau Pinang,115956.997
2023-01-01,Sabah,83196.915
2023-01-01,Sarawak,142351.83
2023-01-01,Selangor,406071.453
2023-01-01,Terengganu,38201.414
2023-01-01,W.P. Kuala Lumpur,249301.544
2023-01-01,W.P. Labuan,8115.199
2016-01-01,Johor,6.073
2016-01-01,Kedah,4.061
2016-01-01,Kelantan,4.989
2016-01-01,Melaka,4.533
2016-01-01,Negeri Sembilan,3.946
2016-01-01,Pahang,2.883
2016-01-01,Perak,4.405
2016-01-01,Perlis,4.048
2016-01-01,Pulau Pinang,5.563
2016-01-01,Sabah,5.072
2016-01-01,Sarawak,2.408
2016-01-01,Selangor,4.841
2016-01-01,Terengganu,3.241
2016-01-01,W.P. Kuala Lumpur,5.958
2016-01-01,W.P. Labuan,6.881
2017-01-01,Johor,5.896
2017-01-01,Kedah,4.643
2017-01-01,Kelantan,4.562
2017-01-01,Melaka,8.266
2017-01-01,Negeri Sembilan,4.894
2017-01-01,Pahang,7.304
2017-01-01,Perak,5.122
2017-01-01,Perlis,2.245
2017-01-01,Pulau Pinang,5.182
2017-01-01,Sabah,8.095
2017-01-01,Sarawak,4.542
2017-01-01,Selangor,7.22
2017-01-01,Terengganu,5.743
2017-01-01,W.P. Kuala Lumpur,7.584
2017-01-01,W.P. Labuan,5.892
2018-01-01,Johor,5.685
2018-01-01,Kedah,4.034
2018-01-01,Kelantan,2.73
2018-01-01,Melaka,3.786
2018-01-01,Negeri Sembilan,4.287
2018-01-01,Pahang,3.112
2018-01-01,Perak,5.328
2018-01-01,Perlis,3.349
2018-01-01,Pulau Pinang,5.148
2018-01-01,Sabah,1.454
2018-01-01,Sarawak,2.183
2018-01-01,Selangor,6.959
2018-01-01,Terengganu,2.53
2018-01-01,W.P. Kuala Lumpur,6.879
2018-01-01,W.P. Labuan,6.703
2019-01-01,Johor,2.787
2019-01-01,Kedah,4.547
2019-01-01,Kelantan,5.536
2019-01-01,Melaka,2.85
2019-01-01,Negeri Sembilan,5.12
2019-01-01,Pahang,3.81
2019-01-01,Perak,4.056
2019-01-01,Perlis,4.519
2019-01-01,Pulau Pinang,3.739
2019-01-01,Sabah,0.741
2019-01-01,Sarawak,2.819
2019-01-01,Selangor,6.743
2019-01-01,Terengganu,3.336
2019-01-01,W.P. Kuala Lumpur,6.097
2019-01-01,W.P. Labuan,5.222
2020-01-01,Johor,-4.584
2020-01-01,Kedah,-1.705
2020-01-01,Kelantan,-1.144
2020-01-01,Melaka,-5.858
2020-01-01,Negeri Sembilan,-3.534
2020-01-01,Pahang,-6.073
2020-01-01,Perak,-2.275
2020-01-01,Perlis,-5.954
2020-01-01,Pulau Pinang,-2.065
2020-01-01,Sabah,-9.11
2020-01-01,Sarawak,-6.729
2020-01-01,Selangor,-5.276
2020-01-01,Terengganu,-5.573
2020-01-01,W.P. Kuala Lumpur,-6.992
2020-01-01,W.P. Labuan,-0.13
2021-01-01,Johor,2.475
2021-01-01,Kedah,3.177
2021-01-01,Kelantan,2.359
2021-01-01,Melaka,2.05
2021-01-01,Negeri Sembilan,3.131
2021-01-01,Pahang,1.011
2021-01-01,Perak,3.551
2021-01-01,Perlis,1.41
2021-01-01,Pulau Pinang,6.941
2021-01-01,Sabah,1.49
2021-01-01,Sarawak,3.165
2021-01-01,Selangor,5.293
2021-01-01,Terengganu,3.653
2021-01-01,W.P. Kuala Lumpur,1.121
2021-01-01,W.P. Labuan,0.477
2022-01-01,Johor,8.478
2022-01-01,Kedah,7.319
2022-01-01,Kelantan,4.471
2022-01-01,Melaka,8.854
2022-01-01,Negeri Sembilan,6.596
2022-01-01,Pahang,11.375
2022-01-01,Perak,4.585
2022-01-01,Perlis,5.852
2022-01-01,Pulau Pinang,13.273
2022-01-01,Sabah,3.932
2022-01-01,Sarawak,6.919
2022-01-01,Selangor,11.931
2022-01-01,Terengganu,6.011
2022-01-01,W.P. Kuala Lumpur,9.384
2022-01-01,W.P. Labuan,4.09
2023-01-01,Johor,4.099
2023-01-01,Kedah,1.569
2023-01-01,Kelantan,2.649
2023-01-01,Melaka,2.972
2023-01-01,Negeri Sembilan,1.815
2023-01-01,Pahang,5.175
2023-01-01,Perak,2.651
2023-01-01,Perlis,2.145
2023-01-01,Pulau Pinang,3.274
2023-01-01,Sabah,1.328
2023-01-01,Sarawak,1.175
2023-01-01,Selangor,5.43
2023-01-01,Terengganu,2.269
2023-01-01,W.P. Kuala Lumpur,3.652
2023-01-01,W.P. Labuan,1.918
2015-01-01,Supra,51419.75
2016-01-01,Supra,50562.395
2017-01-01,Supra,46512.054
2018-01-01,Supra,46044.467
2019-01-01,Supra,45738.116
2020-01-01,Supra,40697.536
2021-01-01,Supra,41895.612
2022-01-01,Supra,42872.705
2023-01-01,Supra,44503.21
2016-01-01,Supra,-1.667
2017-01-01,Supra,-8.011
2018-01-01,Supra,-1.005
2019-01-01,Supra,-0.665
2020-01-01,Supra,-11.021
2021-01-01,Supra,2.944
2022-01-01,Supra,2.332
2023-01-01,Supra,3.803
